country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-03-2026 13:00:00",20.362421,72.918013,OZONE,6,26,13
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","24-03-2026 13:00:00",22.969611,72.643500,NO2,23,110,72
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","24-03-2026 13:00:00",22.969611,72.643500,NH3,1,8,5
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","24-03-2026 13:00:00",22.969611,72.643500,CO,12,32,14
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","24-03-2026 13:00:00",22.969611,72.643500,OZONE,31,45,34
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","24-03-2026 13:00:00",30.379589,76.778328,NO2,9,12,11
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","24-03-2026 13:00:00",23.041137,72.456691,PM2.5,28,84,55
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","24-03-2026 13:00:00",23.041137,72.456691,PM10,28,88,55
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","24-03-2026 13:00:00",23.023389,72.515201,SO2,5,30,13
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","24-03-2026 13:00:00",23.076793,72.627874,PM10,67,144,100
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","24-03-2026 13:00:00",23.076793,72.627874,NO2,11,88,44
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","24-03-2026 13:00:00",28.6701,76.9254,CO,12,48,20
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","24-03-2026 13:00:00",28.3419248,77.319699,NO2,19,21,20
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-03-2026 13:00:00",28.806223,76.141105,PM10,35,217,64
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","24-03-2026 13:00:00","21.217779 ","72.834787 ",PM10,52,164,100
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","24-03-2026 13:00:00","21.217779 ","72.834787 ",NO2,9,43,23
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","24-03-2026 13:00:00",22.320153,73.216285,NH3,2,3,3
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","24-03-2026 13:00:00",22.410802,73.097923,PM10,59,300,133
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","24-03-2026 13:00:00",22.248853,70.776774,NH3,1,7,3
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","24-03-2026 13:00:00",22.248853,70.776774,OZONE,2,10,3
